mol,CAS,Tox
Clc1c(C(=O)O)c(Cl)ccc1,50-30-6,2.3299999
Clc1c(C(=O)O)c(Cl)cc(Cl)c1,50-43-1,2.5899999
Clc1c(Cl)cccc1C(=O)O,50-45-3,2.5899999
Clc1c(C(=O)O)cc(Cl)cc1,50-79-3,2.54
O=[N+]([O-])c1c(O)ccc([N+](=O)[O-])c1,51-28-5,4.0599999
Clc1cc(Cl)cc(C(=O)O)c1,51-36-5,3.27
Clc1c(Cl)ccc(C(=O)O)c1,51-44-5,3.3099999
O=C(N)c1ccccc1,55-21-0,2.0899999
ClC(Cl)(Cl)Cl,56-23-5,2.98
S=C=NCC=C,1957/6/7,5.0609999
OC(CO)C,57-55-6,0.49000001
O=C1OCC1,57-57-8,2.875
O=C1C(C)=CC(=O)c2c1cccc2,58-27-5,4.54
Clc1c(C)cc(O)cc1,59-50-7,3.8
OCCc1ccccc1,1960/12/8,2.4100001
O=C(N)C,60-35-5,0.67799997
Nc1ccccc1,62-53-3,2.77
S=C(N)N,62-56-6,1.6799999
OCC,64-17-5,1.0089999
S(=O)(=O)(OCC)OCC,64-67-5,2.302
O=C(N)c1c(O)cccc1,65-45-2,2.76
O=Cc1c2c(ccc1)cccc2,66-77-3,3.4230001
O=Cc1ccc(Oc2ccccc2)cc1,67-36-7,4.2600002
OC,67-56-1,0.33399999
OC(C)C,67-63-0,1.118
O=C(C)C,67-64-1,0.796
[SH0](=O)(C)C,67-68-5,0.54799998
S(=O)(=O)(C)C,67-71-0,0.80000001
O=C(O)c1c(O)cccc1,69-72-7,2.49
BrCC(=O)c1ccccc1,1970/11/1,5.8239999
Fc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1,70-34-8,4.71
O=C(CC)c1ccc(O)cc1,70-70-2,3.1199999
OCCC,71-23-8,1.2539999
OCCCCC,71-41-0,1.97
c1ccccc1,71-43-2,2.8800001
Clc1ccc(C(=O)O)cc1,1974/11/3,3.1099999
N#CC,1975/5/8,0.72299999
NC(C)C,75-31-0,2.1370001
NC(C)(C)C,75-64-9,2.1029999
OC(C)(C)C,75-65-0,1.209
BrC(Br)(Br)CO,75-80-9,3.1129999
OCC(C)(C)C,75-84-3,2.1300001
OC(CC)(C)C,75-85-4,1.827
O=C(C(C)(C)C)C,75-97-8,1.558
O=C(O)C(C)(C)C,75-98-9,2.7460001
OC(C#C)(CC)C,77-75-8,1.677
S(=O)(=O)(C=C)C=C,77-77-0,4.4099998
NCC(C)C,78-81-9,2.7379999
N#CC(C)C,78-82-0,1.381
O=CC(C)C,78-84-2,2.5669999
O=CC(=C)C,78-85-3,3.6700001
O=C(CC)C,78-93-3,1.2539999
O=C(N)CC,79-05-0,0.91000003
O=C(N)C=C,1979/6/1,2.1930001
ClCC(=O)N,1979/7/2,3.036
O=C(O)CC,1979/9/4,2.4879999
O=C(NC)C,79-16-3,1.02
O=C(OC)C,79-20-9,1.405
O=C(O)C(C)C,79-31-2,2.6670001
Oc1ccc(C(CC)(C)C)cc1,80-46-6,4.23
O=C(OC)C(=C)C,80-62-6,1.78
O=[N+]([O-])c1c(C)cccc1C,81-20-9,3.3
Cc1c2c([nH]c1)cccc2,83-34-1,3.3699999
Clc1c(C)c([N+](=O)[O-])ccc1,83-42-1,3.6800001
O=C(OCC)c1c(C(=O)OCC)cccc1,84-66-2,3.23
O=C(OCC(C)C)c1c(C(=O)OCC(C)C)cccc1,84-69-5,4.4400001
O=[N+]([O-])c1c(-c2ccccc2)cccc1,86-00-0,4.3000002
N#Cc1c2c(ccc1)cccc2,86-53-3,3.6900001
O=[N+]([O-])c1c2c(ccc1)cccc2,86-57-7,4
[nH]1c2c(c3c1cccc3)cccc2,86-74-8,3.9100001
O=C(OCCO)c1c(O)cccc1,87-28-5,2.9200001
Nc1c(C)c(C)ccc1,87-59-2,2.5699999
Nc1c(C)cccc1C,87-62-7,2.5699999
Clc1c(O)c(Cl)ccc1,87-65-0,3.73
Oc1c(O)cccc1O,87-66-1,3.8499999
Clc1c(Cl)c(Cl)c(O)c(Cl)c1Cl,87-86-5,5.0700002
Clc1c(Cl)c(O)c(Cl)c(Cl)c1O,87-87-6,5.1100001
Nc1c(C)cc(C)cc1C,1988/5/1,2.95
Clc1c(O)c(Cl)cc(Cl)c1,1988/6/2,4.4099998
O=C(C)c1sccc1,88-15-3,2.4100001
Oc1c(C(C)(C)C)cccc1,88-18-6,4.29
Brc1c(C(=O)O)cccc1,88-65-3,2.53
O=C(N)c1c(N)cccc1,88-68-6,2.1300001
Clc1c([N+](=O)[O-])cccc1,88-73-3,3.6800001
O=[N+]([O-])c1c(O)cccc1,88-75-5,3.6700001
Clc1c([N+](=O)[O-])cc(Cl)cc1,89-61-2,4.1300001
O=[N+]([O-])c1c(N)ccc(C)c1,89-62-3,3.3699999
Clc1cc([N+](=O)[O-])c(O)cc1,89-64-5,5.1199999
Clc1c(C)cc(O)c(C(C)C)c1,89-68-9,4.8499999
O=C(NO)c1c(O)cccc1,89-73-6,3.3800001
O=C(C)c1c(O)cc(O)cc1,89-84-9,3.25
OCc1c(C)cccc1,89-95-2,2.5699999
Oc1c(CC)cccc1,90-00-6,3.1600001
OCc1c(O)cccc1,1990/1/7,2.05
O=Cc1c(O)cccc1,1990/2/8,3.4200001
O(C)c1c(N)cccc1,90-04-0,2.3099999
Cc1c2c(ccc1)cccc2,90-12-0,3.74
Clc1c2c(ccc1)cccc2,90-13-1,3.8099999
Oc1c2c(ccc1)cccc2,90-15-3,3.75
Brc1c(O)c(C=O)cc(Br)c1,90-59-5,4.6500001
Clc1c(O)c(C=O)cc(Cl)c1,90-60-8,4.5500002
Oc1c(CN(C)C)cc(CN(C)C)cc1CN(C)C,90-72-2,2.48
Brc1ccc(C(=O)c2ccccc2)cc1,90-90-4,4.2600002
OC(c1ccccc1)c1ccccc1,91-01-0,3.5
N#Cc1c(C#N)cccc1,91-15-6,2.6600001
c12c(cccc1)cccc2,91-20-3,2.8800001
n1c2c(ccc1)cccc2,91-22-5,3.0899999
Cc1cc2c(cc1)cccc2,91-57-6,4.0799999
Cc1nc2c(cc1)cccc2,91-63-4,3.47
N(CC)(CC)c1ccccc1,91-66-7,3.6600001
c1(-c2ccccc2)ccccc1,92-52-4,4.0500002
Oc1ccc(-c2ccccc2)cc1,92-69-3,4.3899999
n1c2c(nc3c1cccc3)cccc2,92-82-0,4.4000001
OC(CC)c1ccccc1,93-54-9,2.5699999
O=C(CC)c1ccccc1,93-55-0,2.9300001
O=C(OC)c1ccccc1,93-58-3,3.23
O=C(OCC)c1ccccc1,93-89-0,2.99
O=C(CC(=O)c1ccccc1)C,93-91-4,3.5699999
O=C(Oc1ccccc1)c1ccccc1,93-99-2,4.3499999
O=C(OC=C)C(CCCC)CC,1994/4/2,4.046
O=C(OCC)c1ccc(C)cc1,1994/8/6,3.6800001
O=C(OCC)c1ccc(N)cc1,1994/9/7,3.7
O=C(OCc1ccccc1)c1ccc(O)cc1,94-18-8,4.5500002
O=C(OCCCC)c1ccc(O)cc1,94-26-8,4.3299999
O=C(OCC)c1ccc(OC)cc1,94-30-4,3.77
O/N=C/c1c(O)cccc1,94-67-7,3.25
O=Cc1c(O)cc(O)cc1,1995/1/2,3.5150001
s1c2c(nc1)cccc2,95-16-9,2.97
Oc1c(C)cccc1,95-48-7,2.71
Clc1c(Cl)cccc1,95-50-1,3.53
Clc1c(N)cccc1,95-51-2,2.8299999
Nc1c(C)cccc1,95-53-4,2.8399999
Brc1c(O)cccc1,95-56-7,3.3299999
Cc1c(C)ccc(C)c1,95-63-6,3.78
Nc1cc(C)c(C)cc1,95-64-7,2.8399999
Oc1cc(C)c(C)cc1,95-65-8,3.1199999
Oc1c(C)cc(O)cc1,95-71-6,4.8600001
Clc1c(C)ccc(N)c1,95-74-9,3.3900001
Clc1c(Cl)ccc(N)c1,95-76-1,4.3699999
Clc1c(Cl)ccc(O)c1,95-77-2,4.75
Nc1c(C)ccc(C)c1,95-78-3,2.6700001
Clc1cc(N)c(C)cc1,95-79-4,3.5
Nc1c(C)ccc(N)c1,95-80-7,2.3399999
Clc1c(N)cc(Cl)cc1,95-82-9,3.5799999
Clc1cc(N)c(O)cc1,95-85-2,3.78
Oc1c(N)cc(N)cc1,95-86-3,3.1300001
Oc1c(C)ccc(C)c1,95-87-4,3.1400001
Clc1c(O)cc(O)cc1,95-88-5,3.1300001
Clc1c(Cl)cc(Cl)c(Cl)c1,95-94-3,5
Clc1c(Cl)cc(O)c(Cl)c1,95-95-4,5.0999999
O=C(C(=O)C)CCCC,1996/4/8,3.04
O=C(OCC=C)C(=C)C,1996/5/9,2.3199999
BrC(CBr)CO,96-13-9,2.5139999
NCC(CC)C,96-15-1,2.523
BrCC(O)CBr,96-21-9,3.5699999
O=C(CC)CC,96-22-0,1.544
ClCC(O)CCl,96-23-1,2.207
O/N=C(/CC)\C,96-29-7,1.9299999
O=C(OC)C=C,96-33-3,3.55
ClCC(=O)OC,96-34-4,3.8859999
O=C1OCCC1,96-48-0,1.283
O=[N+]([O-])c1c(N)ccc([N+](=O)[O-])c1,1997/2/9,3.72
Clc1cc(Cc2c(O)ccc(Cl)c2)c(O)cc1,97-23-4,6.0900002
O(C)c1c(O)ccc(CC=C)c1,97-53-0,3.4200001
O(C)c1c(O)ccc(/C=C/C)c1,97-54-1,3.75
O=C(OCC)C(C)C,97-62-1,1.729
O=C(OCC)C(=C)C,97-63-2,2.0699999
O=C(OCC(C)C)C(C)C,97-85-8,2.4089999
O=C(OCC(C)C)C(=C)C,97-86-9,2.72
O=CC(CC)CC,97-96-1,2.9460001
O=Cc1sccc1,1998/3/3,2.95
Oc1ccc(C(C)(C)C)cc1,98-54-4,3.9100001
C(C)(C)c1ccccc1,98-82-8,3.6900001
O=C(C)c1ccccc1,98-86-2,2.54
ClC(Cl)c1ccccc1,98-87-3,3.1099999
O=[N+]([O-])c1ccccc1,98-95-3,3.1400001
O=C(C)c1cc(N)ccc1,1999/3/6,2.1800001
O=C(O)c1cc(O)ccc1,1999/6/9,2.1900001
O=[N+]([O-])c1cc(C)ccc1,1999/8/1,3.4200001
O=[N+]([O-])c1cc(N)ccc1,1999/9/2,3.03
Brc1c(O)c(Br)cc([N+](=O)[O-])c1,99-28-5,4.3600001
O=[N+]([O-])c1cc(C)c(C)cc1,99-51-4,3.5899999
O=[N+]([O-])c1cc(C)c(N)cc1,99-52-5,3.49
O=[N+]([O-])c1cc(N)c(N)cc1,99-56-9,3.52
O=[N+]([O-])c1cc(C=O)ccc1,99-61-6,3.1099999
O=[N+]([O-])c1cc([N+](=O)[O-])ccc1,99-65-0,3.76
O=C(O)C(CCC)CCC,99-66-1,3.026
O=C(OC)c1ccc(C)cc1,99-75-2,3.23
O=C(OC)c1ccc(O)cc1,99-76-3,3.0799999
O=[N+]([O-])c1ccc(C(=O)OCC)cc1,99-77-4,3.71
Nc1ccc(C(C)C)cc1,99-88-7,3.22
O=C(O)c1ccc(O)cc1,99-96-7,1.98
O=[N+]([O-])c1ccc(O)cc1,100-02-7,4.4200001
O=C(C)c1ccc(OC)cc1,100-06-1,2.8699999
O=Cc1ccc(N(C)C)cc1,100-10-7,3.23
BrCc1ccc([N+](=O)[O-])cc1,100-11-8,5.3099999
O=[N+]([O-])c1ccc(CC)cc1,100-12-9,3.4300001
ClCc1ccc([N+](=O)[O-])cc1,100-14-1,4.1799998
O=[N+]([O-])c1ccc(OC)cc1,100-17-4,3.54
O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,100-25-4,4.3000002
OCCN(CC)CC,100-37-8,1.505
BrCc1ccccc1,100-39-0,3.638
C(=C)c1ccccc1,100-42-5,2.98
NCc1ccccc1,100-46-9,2.76
N#Cc1ccncc1,100-48-1,2.1800001
O=Cc1ccccc1,100-52-7,2.8
N#Cc1cnccc1,100-54-9,2.26
N(C)c1ccccc1,100-61-8,3.0599999
S(C)c1ccccc1,100-68-5,3.1800001
N#Cc1ncccc1,100-70-9,2.1700001
C(C)c1ncccc1,100-71-0,2.1300001
OCC1OC(C)(C)OC1,100-79-8,1.21
O=Cc1cc(O)ccc1,100-83-4,3.0799999
OC(Cc1ccccc1)(C)C,100-86-7,2.5899999
C(c1ncccc1)c1ccccc1,101-82-6,3.3800001
N=C(NC(=N)N)Nc1ccccc1,102-02-3,2.6099999
OCCN(CCO)CCO,102-71-6,1.251
OC(CCc1ccccc1)(C)C,103-05-9,2.9300001
O=C(OCC)/C=C/c1ccccc1,103-36-6,3.99
O=C(OC/C=C/c1ccccc1)C,103-54-8,3.5899999
BrCCc1ccccc1,103-63-9,3.4200001
N(CC)c1ccccc1,103-69-5,3.0699999
S=C=Nc1ccccc1,103-72-0,4.4099998
N(Cc1ccccc1)(C)C,103-83-3,3.1199999
O=C(Nc1ccc(O)cc1)C,103-90-2,2.1800001
Oc1ccc(CCCCCCCCC)cc1,104-40-5,5.4699998
O=C1OC(CCCC)CC1,104-50-7,2.6199999
C(CC)Cc1ccccc1,104-51-8,4.25
ClCCCc1ccccc1,104-52-9,3.5
OC/C=C/c1ccccc1,104-54-1,2.9200001
O=C1OC(CCCCC)CC1,104-61-0,3.0139999
OCC(CCCC)CC,104-76-7,3.1670001
NCc1ccc(C)cc1,104-84-7,2.99
N#Cc1ccc(C)cc1,104-85-8,2.9000001
Clc1ccc(CN)cc1,104-86-9,3.1600001
O=Cc1ccc(C)cc1,104-87-0,2.9430001
Clc1ccc(C=O)cc1,104-88-1,3.4000001
C(C)c1cnc(C)cc1,104-90-5,2.8199999
O=Nc1ccc(O)cc1,104-91-6,3.6500001
O(C)c1ccc(C)cc1,104-93-8,3.25
O=Cc1ccc(C#N)cc1,105-07-7,3.04
OC(C#C)CCC,105-31-7,3.6570001
O=C(OC)CC#N,105-34-0,1.66
BrCC(=O)OCC,105-36-2,5.678
O=C(OCC)CC,105-37-3,2.0550001
O=C(OC=C)CC,105-38-4,2.3469999
ClCC(=O)OCC,105-39-5,4.0560002
O=C(O)CC(CC)C,105-43-1,2.767
O=C(OC(CC)C)C,105-46-4,2.3210001
O=C(OCC)CC(=O)OCC,105-53-3,2.003
O=C(OCC)CC#N,105-56-6,1.77
OCCN(CCO)C,105-59-9,1.166
O=C(OCCC)CCC,105-66-8,2.586
Oc1c(C)cc(C)cc1,105-67-9,3.1400001
O=C(OCCCC)/C=C/C(=O)OCCCC,105-75-9,4.4899998
O=C(OCCCC)CCCCC(=O)OCCCC,105-99-7,3.7920001
O=C(OCCC)CC,106-36-5,2.1849999
