filename,Benzene adsorption(mg/g)
UHISOU,950.3649369
FIGXAU,929.7969215
BOHGOU,828.603743
YUBFOR,812.3307233
HAKWUM,773.4752975
OLOKEF,763.7275276
LIKFOB,736.7720378
GUXQAR,728.2615394
LULJAE,705.0528068
RURPEA,655.5986354
VAGTAA,647.1644634
ZAVPIX,617.3079647
ULUVUT,611.3844616
OSAVUA,593.9844514
RUFMUA,575.8189873
SICDAL,569.8556379
FOHCAH,565.7843518
QOPHEI,555.3615902
XUMVEH,544.568054
MOCHES,529.5308141
PEWFII,508.4791972
HIZQEN,508.4230799
WOWGEU,506.2144788
GUXLIU,505.8089388
MOCHUI,498.7098414
PUPXII,490.2223622
MOCJAQ,485.4348308
MOCJEU,481.5469327
BAHGUN,465.4939579
CEYPUT,460.7404497
UBIPAY,445.8614609
ADAXEK,444.777061
SIQQEO,440.8231531
IKEBUV,427.0370927
JIVFUQ,424.1366771
GELVEZ,420.2947046
LAGNAK,418.4518919
MINCER,415.5107301
GOGWAB,404.470715
WEXNIW,401.809759
OHOMIH,400.3390539
SOTTUR,400.316953
OFUDUQ,399.2737441
ADIQEL,397.2991244
ICOWON,396.0164421
XOVPIH,394.5118498
XOPLOE,394.5118498
MOTMAK,393.823219
UQUHAQ,391.9794642
AGUWUV,391.8031274
BUDDIO,391.4637683
FAKLIO,389.3063024
RAJFAL,386.0852855
ULOGIL,383.7037491
LECGEH,381.7950257
TOZHAR,381.5721299
OCACUR,380.9604571
PARHAS,380.5228415
DOGZIJ,380.1168585
WOGHEG,376.7463981
POLNAG,376.1937758
ESUMOU,375.995916
QOCRUW,374.6309247
SEHZUB,373.5482742
QUGNOV,371.3119659
NOCLOH,371.2412291
EQOCES,364.2020732
GAMTAQ,362.3678114
YARYEV,361.3797216
GAMTEU,361.2425045
VEMMEG,360.4394666
BEGBOG,360.0001278
MAYXUG,359.9966221
UXUYUI,357.4354073
DEKHUX,357.2984763
UGEPEB,356.4200797
ESEQUO,356.3835372
QOMDUS,353.5939381
SUNJIV,353.5684362
LAGQER,353.4695595
ECUDAI,353.1168149
SUNJOB,351.5357731
ADEGIA,350.0326147
CUMDIY,349.8227226
VEMMAC,347.2131532
XEHTUB,345.8676186
EDABOC,345.4446634
KAYBIX,345.1893768
SUNJER,344.9268709
HURNOX,344.6353381
OSAVEK,343.1918774
XEJJIG,341.4621814
IJASES,341.2765294
WEWGAH,340.0254605
BELYIC,337.8679828
FAKLOU,335.9195064
IBUDOZ,335.393638
QAQSAD,334.1789917
CUGLTM,333.9385576
ZISYAD,333.8857206
LIBJAJ,333.2965588
MAFZOK,331.6153097
RUWWOW,330.4645232
ECUCUB,328.7597983
ETEJIX,327.8236133
EBELUU,325.5302853
XANMIJ,325.2640174
LEGGEK,325.106987
LIHRIE,324.5658527
CADQOP,322.2946528
DAXHIV,322.1663387
TETWOG,321.2248662
QEKLID,320.7329845
CEHWIX,320.6482189
VASKOR,320.5083476
RUWWUC,317.7999441
ELIKEQ,317.1879936
EXIBUI,315.1023392
ELIKIU,312.8682395
CAZFOA,312.8038144
ETEKAQ,311.5914892
EVUQOC,310.4175517
VILXOE,309.903196
WEYMIY,308.9030423
DEKHEH,307.8115447
IJANAJ,307.3117304
JEMQEY,307.2232224
IXODUV,306.851828
EVUQUI,306.8127207
CELZEA,306.7614198
JEDJUY,306.6177928
HENYUV,306.4501903
GIYSUD,305.8739501
ETEKEU,304.8424142
ELILAN,304.65664
LUCDIW,303.6824042
CAXVOO,303.5808812
PEPLEC,303.197828
UVINAP,302.8500607
CESYEF,302.7438587
BUKMUQ,302.0254308
ELILER,301.5520272
EBANAY,300.5287927
GEHSAN,300.36271
REYPIW,298.6049279
GIYTAK,297.4639172
GAWBEM,297.0632605
TIFBOA,294.1674552
BEXPAX,293.7694212
XAFXOT,292.7745589
ACOLIP,292.7650309
QUQHAM,292.5751964
DEFKUU,292.3300499
OPURIB,291.03874
ECASAD,289.3539242
NUYWEK,287.8028921
QAVZAQ,287.0123431
RATVEP,284.7627664
UVARIT,283.1899676
TARVOX,281.9968259
REDYEG,281.843228
NACVUI,281.6204443
KINDOC,280.574113
OHAZAZ,280.4478268
QETCUO,279.6951982
QISKIN,279.4216549
NOCLUN,278.2284217
TARWAK,277.2169609
ROGLOP,277.0366718
RIBDAJ,274.0666142
AFOVIB,273.2337065
TECTUS,272.6587778
DIMQOH,271.803953
ZEXKUK,270.1137982
QIRYAS,269.9596915
HIWKII,268.9970915
HOGSIG,267.6160118
LASWIN,267.2060573
GUJVIR,265.5467537
JEMNAR,265.0917611
UKAPUS,264.5288053
WEMNAF,264.126334
WODFOL,262.782491
KEXKEF,262.6799881
COJHIT,262.231009
DODHUA,261.8417437
XEQLEM,261.8297032
XEJWUG,261.4903191
OPIWEQ,261.180491
ATOWOW,261.1395596
HAJJAE,260.8525915
FEVNOK,260.8513315
OYOSAX,260.2071209
NELWIL,259.6561315
NEVVAM,258.8578981
RUJGOT,258.4254299
MABJUV,257.6856874
ADABIS,257.4841325
DAWCAH,257.2921604
DAWBUA,257.0787797
CAYDEN,255.8053121
RAYMAG,255.4661434
VUNCAJ,254.9156517
GOKBUE,253.8069982
VETTOE,252.7405387
QEKLUP,252.3060763
WARWOC,251.3861822
FIBHIJ,249.4423402
WOCWAN,247.4695903
ZIKJIO,245.6281985
FUFREE,245.1266825
MOXNUJ,244.9768734
UZUNAF,244.919873
WAFKAQ,244.2335625
MIFKUJ,243.1302196
MIHLEV,241.7007298
TATSIS,241.5273449
NAPZOV,240.9454447
FIGQUJ,239.9192498
XAVQIU,238.4871413
BERFIP,238.368658
SIPWUK,238.0792757
SUKYIH,236.5705121
LAVSUY,236.4787975
PIJROR,235.8560012
KINDIW,235.8423243
LAGVOG,235.673584
IPIFAP,235.4449743
ANENEN,233.6575412
FIHFAF,233.1073841
XAMLUS,232.7216983
KINQAB,232.4337984
CODROD,232.246717
KIYMAI,231.9435835
HABZEQ,231.8167319
ANENIR,231.5056711
DIBXAP,231.3530114
UXABUR,231.350267
RAVWAO,231.2430012
KAYCIY,231.0742512
IDUDES,230.883293
LEPLEZ,230.6824
GESFAN,230.2304836
IDUDIW,230.1384058
WABTOK,229.9843586
KIPZEQ,229.964585
QUFTAM,229.5143343
FUWYAY,229.1861624
CEKHIL,229.037945
VEHPUU,228.8040754
NOCKUM,228.524585
UXUZAP,228.2040725
GAJZUO,227.6759669
QUFFED,226.1742745
MIMVEJ,226.0637995
BIHMUC,225.7935192
PAPRUU,225.704518
EMIYEF,224.2579027
NERVEL,224.2234021
NIKDAM,223.366154
OKINIG,223.2606663
MUVGUG,222.1946435
VURYIR,221.5408606
XIDBUJ,221.2769898
WEFXEM,221.2401046
NEJSOM,219.5445071
ODIXEG,218.9304527
EZABEN,217.2625643
OXAZIX,215.9714462
PAMHES,215.6415361
DACYAI,215.4799017
LUFNAC,215.2030981
DEJRUH,215.0056532
TONQOD,214.7998516
FIJDIM,214.1635671
AHUTIH,214.0230159
ZASJAG,213.623408
RACZEC,213.3551911
MAHTAR,212.9671071
RAXYOF,210.9531613
UWELIS,210.7117213
QATRAG,210.639836
HEBJAB,210.0678541
TIRRIW,209.8156304
LAGNOY,208.8209461
YURKAY,208.244803
HURQUG,208.0684003
CUKVUA,207.8994267
UZATAR,207.7591689
RAZGOQ,207.5601982
VAZLIT,207.4856132
GELVID,206.8641648
ZIKJOU,205.9169486
