MOF,Linker_ID,SMILES,SA_Score,Pred_Tox_IBC50,Pred_Tox_IGC50,Pred_Tox_LC50,Pred_Tox_LC50DM,Mean_Tox,CoPriNet_log_USD_per_mmol,ExactMolWt,CoPriNet_USD_per_mmol,CoPriNet_USD_per_g,CoPriNet_log_USD_per_g,CoPriNet_valid_price,Price_rank_by_row
UFUNAK_clean-(id:172345),0,c1cc(ccn1)C(=O)[O],2.615,4.442236866539724,3.687729889947085,3.5570882324971005,4.864812202042115,4.137966797756507,0.2844731211662292,122.024203368,1.3290615891943305,10.891786649785804,2.3880089868291634,True,1
HAWZEM_clean-(id:177210),0,c1cnccc1C(=O)[O],2.615,4.442236866539724,3.687729889947085,3.5570882324971005,4.864812202042115,4.137966797756507,0.2844803631305694,122.024203368,1.3290712142458174,10.89186552800194,2.388016228793504,True,2
UGEPEB_clean-(id:172349),0,c1cc(ccn1)C(=O)[O],2.615,4.442236866539724,3.687729889947085,3.5570882324971005,4.864812202042115,4.137966797756507,0.2844810783863067,122.024203368,1.3290721648719688,10.891873318474037,2.3880169440492414,True,3
UGEPEB_clean-(id:183011),0,c1cc(ccn1)C(=O)[O],2.615,4.442236866539724,3.687729889947085,3.5570882324971005,4.864812202042115,4.137966797756507,0.284481406211853,122.024203368,1.3290726005758486,10.89187688910894,2.388017271874787,True,4
REDYEG_clean-(id:171954),0,c1cc(ccn1)C(=O)[O],2.615,4.442236866539724,3.687729889947085,3.5570882324971005,4.864812202042115,4.137966797756507,0.2844820022583008,122.024203368,1.329073392765087,10.891883381175404,2.388017867921235,True,5
MEJQEZ_clean-(id:179632),1,c1c(C(=O)[O])ccnc1,2.615,4.442236866539724,3.687729889947085,3.5570882324971005,4.864812202042115,4.137966797756507,0.2844820916652679,122.024203368,1.3290735115935135,10.891884354985708,2.388017957328202,True,6
XEYMAR_clean-(id:184614),0,c1cc(ccn1)C(=O)[O],2.615,4.442236866539724,3.687729889947085,3.5570882324971005,4.864812202042115,4.137966797756507,0.2844827175140381,122.024203368,1.3290743433927965,10.89189117166027,2.388018583176972,True,7
HAWZEM_clean-(id:170368),0,c1cnccc1C(=O)[O],2.615,4.442236866539724,3.687729889947085,3.5570882324971005,4.864812202042115,4.137966797756507,0.2844827473163605,122.024203368,1.3290743830022993,10.891891496263929,2.388018612979295,True,8
UGEPEB01_clean-(id:172348),0,c1c(C(=O)[O])ccnc1,2.615,4.442236866539724,3.687729889947085,3.5570882324971005,4.864812202042115,4.137966797756507,0.2844828367233276,122.024203368,1.3290745018308143,10.891892470074955,2.3880187023862622,True,9
UFUNIS_clean-(id:183005),0,c1cc(ccn1)C(=O)[O],2.615,4.442236866539724,3.687729889947085,3.5570882324971005,4.864812202042115,4.137966797756507,0.28448286652565,122.024203368,1.3290745414403216,10.89189279467865,2.388018732188584,True,10
UGEPEB01_clean-(id:183012),0,c1c(C(=O)[O])ccnc1,2.615,4.442236866539724,3.687729889947085,3.5570882324971005,4.864812202042115,4.137966797756507,0.2844848036766052,122.024203368,1.3290771160608328,10.891913893939618,2.3880206693395394,True,11
UFUNAK_clean-(id:183004),0,c1cc(ccn1)C(=O)[O],2.615,4.442236866539724,3.687729889947085,3.5570882324971005,4.864812202042115,4.137966797756507,0.2844851315021515,122.024203368,1.3290775517663358,10.891917464587824,2.3880209971650856,True,12
VACFUB_clean_h-(id:183395),0,c1cc(C(=O)[O])ccn1,2.615,4.442236866539724,3.687729889947085,3.5570882324971005,4.864812202042115,4.137966797756507,0.2844853401184082,122.024203368,1.3290778290335483,10.891919736819114,2.388021205781343,True,13
MEJQEZ_clean-(id:171106),1,c1c(C(=O)[O])ccnc1,2.615,4.442236866539724,3.687729889947085,3.5570882324971005,4.864812202042115,4.137966797756507,0.2844860851764679,122.024203368,1.329078819274066,10.89192785193472,2.388021950839402,True,14
HIVQAG_clean-(id:177334),0,c1c(ccnc1)C(=O)[O],2.615,4.442236866539724,3.687729889947085,3.5570882324971005,4.864812202042115,4.137966797756507,0.2844871878623962,122.024203368,1.3290802848313856,10.89193986231692,2.388023053525331,True,15
UFUMUD_clean-(id:173533),0,c1cc(ccn1)C(=O)[O],2.615,4.442236866539724,3.687729889947085,3.5570882324971005,4.864812202042115,4.137966797756507,0.2844903171062469,122.024203368,1.329084443854201,10.891973945906082,2.388026182769181,True,16
BAHGUN_clean-(id:174375),0,c1cc(ccn1)C(=O)[O],2.615,4.442236866539724,3.687729889947085,3.5570882324971005,4.864812202042115,4.137966797756507,0.284491628408432,122.024203368,1.3290861866866794,10.891988228584683,2.3880274940713666,True,17
MAPFIS_clean-(id:179544),0,c1c(ccc(c1)[O])[O],4.419,4.493011625161298,4.270122745560977,3.9181521919292113,4.128303680177408,4.202397560707223,0.4629455804824829,108.021129368,1.5887468812247802,14.70774181421795,2.688374009179562,True,18
MAPFIS_clean-(id:171074),0,c1c(ccc(c1)[O])[O],4.419,4.493011625161298,4.270122745560977,3.9181521919292113,4.128303680177408,4.202397560707223,0.4629499614238739,108.021129368,1.5887538414469982,14.707806248113972,2.688378390120953,True,19
VABJIS_clean-(id:183385),0,C(C#N)CC#N,3.146,3.756433261272681,3.594059706171856,3.7827149012062,4.262506309751161,3.848928544600474,0.2243551611900329,80.037448128,1.2515154302144984,15.636623349272838,2.7496158134236643,True,20
VABMAN_clean-(id:183392),0,[CH2]C#N.C1CCC1.[CH2]C#N,2.97,3.8158547894679344,3.252374317754959,2.768135551915461,3.3726505990171853,3.3022538145388847,0.774513304233551,136.100048384,2.1695359662198377,15.940743533746527,2.7688783180550245,True,21
FUDQIF_clean-(id:176587),0,c1cnccn1,1.974,3.799358385740772,3.3313454751788685,2.7906194891334337,3.5247462100990195,3.361517390038024,0.2445935010910034,80.037448128,1.2771020670786,15.956306665802147,2.769854153324635,True,22
NOMKUX_clean-(id:180285),0,c1cnccn1,1.974,3.799358385740772,3.3313454751788685,2.7906194891334337,3.5247462100990195,3.361517390038024,0.2445936203002929,80.037448128,1.277102219321039,15.95630856794224,2.7698542725339244,True,23
MAGVOG09_clean-(id:179479),0,NCCN,2.3,4.382496602930226,3.7978996991117593,2.9676941495186853,4.079988964278952,3.807019853959906,0.2140348553657531,60.06874825599999,1.238665828191523,20.620803065723923,3.0263004237918327,True,24
MAGVOG07_clean-(id:179477),0,NCCN,2.3,4.382496602930226,3.7978996991117593,2.9676941495186853,4.079988964278952,3.807019853959906,0.2140348851680755,60.06874825599999,1.238665865106642,20.620803680271752,3.026300453594155,True,25
MAGVOG30_clean-(id:179500),0,C(CN)N,2.3,4.382496602930226,3.7978996991117593,2.9676941495186853,4.079988964278952,3.807019853959906,0.2140349149703979,60.06874825599999,1.238665902021762,20.620804294819603,3.026300483396477,True,26
MAGVOG08_clean-(id:179478),0,NCCN,2.3,4.382496602930226,3.7978996991117593,2.9676941495186853,4.079988964278952,3.807019853959906,0.2140349149703979,60.06874825599999,1.238665902021762,20.620804294819603,3.026300483396477,True,27
MAGVOG18_clean-(id:179488),0,C(CN)N,2.3,4.382496602930226,3.7978996991117593,2.9676941495186853,4.079988964278952,3.807019853959906,0.2140349149703979,60.06874825599999,1.238665902021762,20.620804294819603,3.026300483396477,True,28
MAGVOG_clean-(id:179470),0,NCCN,2.3,4.382496602930226,3.7978996991117593,2.9676941495186853,4.079988964278952,3.807019853959906,0.2140349149703979,60.06874825599999,1.238665902021762,20.620804294819603,3.026300483396477,True,29
MAGVOG03_clean-(id:179473),0,C(CN)N,2.3,4.382496602930226,3.7978996991117593,2.9676941495186853,4.079988964278952,3.807019853959906,0.2140349149703979,60.06874825599999,1.238665902021762,20.620804294819603,3.026300483396477,True,30
MAGVOG19_clean-(id:179489),0,C(CN)N,2.3,4.382496602930226,3.7978996991117593,2.9676941495186853,4.079988964278952,3.807019853959906,0.2140349149703979,60.06874825599999,1.238665902021762,20.620804294819603,3.026300483396477,True,31
MAGVOG05_clean-(id:179475),0,C(CN)N,2.3,4.382496602930226,3.7978996991117593,2.9676941495186853,4.079988964278952,3.807019853959906,0.2140349298715591,60.06874825599999,1.2386659204793224,20.62080460209353,3.0263004982976387,True,32
MAGVOG06_clean-(id:179476),0,C(CN)N,2.3,4.382496602930226,3.7978996991117593,2.9676941495186853,4.079988964278952,3.807019853959906,0.2140349298715591,60.06874825599999,1.2386659204793224,20.62080460209353,3.0263004982976387,True,33
MAGVOG04_clean-(id:179474),0,C(CN)N,2.3,4.382496602930226,3.7978996991117593,2.9676941495186853,4.079988964278952,3.807019853959906,0.2140349298715591,60.06874825599999,1.2386659204793224,20.62080460209353,3.0263004982976387,True,34
YEYMEU_clean-(id:185391),0,c1cc(ccn1)C#N,1.987,4.291251154535288,3.6116726066762848,3.763433718357499,4.642729703282517,4.077271795712897,1.1206687688827517,104.037448128,3.066904567947956,29.478852308782727,3.3836731353822507,True,35
