adsorbate,cv,fold,model,r2,rmse,mae
benzene,KFold,1,GradientBoosting,0.9419836470013571,29.037692565081027,11.528575470250521
benzene,KFold,2,GradientBoosting,0.9471257524284576,24.404712822117794,12.506323871798642
benzene,KFold,3,GradientBoosting,0.9514965008940466,28.2466564196165,13.0689344964479
benzene,KFold,4,GradientBoosting,0.9605268728083467,21.527760806768367,12.17250959895899
benzene,KFold,5,GradientBoosting,0.9700972666409867,20.559480287461998,11.907817778342732
benzene,GroupKFold,1,GradientBoosting,0.9467319221354462,28.507739070753473,15.162213801618254
benzene,GroupKFold,2,GradientBoosting,0.933849721590137,23.49567067148174,14.093568559983938
benzene,GroupKFold,3,GradientBoosting,0.9168458417232839,30.16254330120205,14.520793794824561
benzene,GroupKFold,4,GradientBoosting,0.9797360628644569,15.841722486667612,10.578560544733119
benzene,GroupKFold,5,GradientBoosting,0.9359363665001501,36.442298353005505,17.02616937652379
toluene,KFold,1,XGBoost,0.9736847960433225,25.292764357888633,13.223190044777343
toluene,KFold,2,XGBoost,0.9530307058667495,37.08634257451741,15.048132329062403
toluene,KFold,3,XGBoost,0.9810594067918704,20.19307619034917,10.249481355546093
toluene,KFold,4,XGBoost,0.9777025799583238,25.41650161009315,13.561877709098633
toluene,KFold,5,XGBoost,0.968289664339344,29.883742397695226,12.917714174524317
toluene,GroupKFold,1,XGBoost,0.9469219959181657,37.25409789114888,20.565321522238577
toluene,GroupKFold,2,XGBoost,0.9622290947173874,25.12002726947268,15.97217455441748
toluene,GroupKFold,3,XGBoost,0.9561984572036667,37.98207672097618,19.093246887127144
toluene,GroupKFold,4,XGBoost,0.9853233685507341,19.68423969164257,12.534751250533104
toluene,GroupKFold,5,XGBoost,0.9660020149166755,31.53574555167785,15.503712006426076
