adsorbate,dominant_metal,n_train,n_test,model,status,r2,rmse,mae
benzene,Zn,854,146,GradientBoosting,evaluated,0.9716742086428235,16.992979973851433,11.662833879157725
benzene,Cu,874,126,GradientBoosting,evaluated,0.9402164699707078,22.822599697690894,11.953900836140662
benzene,Cd,905,95,GradientBoosting,evaluated,0.9219882801324321,24.689059115210338,13.382708166033222
benzene,Co,911,89,GradientBoosting,evaluated,0.9842353702008173,14.874343108667277,9.623246203558654
benzene,Mn,940,60,GradientBoosting,evaluated,0.9727496017140687,24.669852728620796,13.354682645304395
benzene,Ni,964,36,GradientBoosting,evaluated,0.9409640479822806,33.424796854312035,15.983559078839777
benzene,La,967,33,GradientBoosting,evaluated,0.9755787937791928,16.025771580594824,11.857204091235838
benzene,Gd,969,31,GradientBoosting,evaluated,0.9916094114925316,10.37325219825064,7.183881536986142
benzene,Ag,971,29,GradientBoosting,evaluated,0.9727773591195112,11.82211724617384,8.835559275950711
benzene,Nd,972,28,GradientBoosting,evaluated,0.9894951479738067,11.238033824812558,7.512789813818982
benzene,Ce,973,27,GradientBoosting,evaluated,0.993009228034758,8.332751481853904,6.353881237200706
benzene,Pr,976,24,GradientBoosting,evaluated,0.9904743042898186,9.926234806031426,6.856382629882582
benzene,Sm,979,21,GradientBoosting,evaluated,0.9863670761917125,11.01353655228673,7.688767163547285
benzene,Er,979,21,GradientBoosting,evaluated,0.8835867636242143,58.606391382268676,24.951711493903325
benzene,Ca,980,20,GradientBoosting,evaluated,0.9797760936435891,12.442615831415493,9.483762615502629
benzene,Fe,981,19,GradientBoosting,evaluated,0.9264883706460385,18.030205782942833,11.893306707026193
benzene,Dy,982,18,GradientBoosting,evaluated,0.9742577405705376,12.613585449488383,8.71575509724535
benzene,Mg,982,18,GradientBoosting,evaluated,0.9060746731454635,38.34642233273734,26.548188411255133
benzene,Tm,988,12,GradientBoosting,evaluated,0.9801972329252602,12.361355110447782,8.647714613524913
benzene,Ba,988,12,GradientBoosting,evaluated,0.977074230793731,17.855908197701126,13.844622077956183
benzene,Y,989,11,GradientBoosting,evaluated,0.9151021949067764,29.8987362729691,27.372739719052028
benzene,U,990,10,GradientBoosting,evaluated,0.411124667623907,33.41377775420964,26.531889672745677
benzene,Al,991,9,GradientBoosting,evaluated,0.53699216266955,126.61724825077536,66.17367556549799
benzene,Yb,991,9,GradientBoosting,evaluated,0.9932629799436845,8.683654984407012,6.360864085092427
benzene,V,992,8,GradientBoosting,evaluated,0.9627498930265641,38.61821183631008,26.121722206856717
benzene,Ho,992,8,GradientBoosting,evaluated,0.9880480239622538,16.584657804815183,8.597559721853235
benzene,K,992,8,GradientBoosting,evaluated,0.9454714119726909,31.990554158289694,26.48805709718427
benzene,Na,992,8,GradientBoosting,evaluated,0.7964843541022053,34.78921814537396,22.550145638207315
benzene,In,992,8,GradientBoosting,evaluated,0.9878448339837143,10.42203271245457,9.62574463617423
