adsorbate,dominant_metal,n_train,n_test,model,status,r2,rmse,mae
benzene,Zn,854,146,GradientBoosting,evaluated,0.9716742086428235,16.992979973851433,11.662833879157725
benzene,Cu,874,126,GradientBoosting,evaluated,0.9402164699707078,22.822599697690894,11.953900836140662
benzene,Cd,905,95,GradientBoosting,evaluated,0.9219882801324321,24.689059115210338,13.382708166033222
benzene,Co,911,89,GradientBoosting,evaluated,0.9842353702008173,14.874343108667277,9.623246203558654
benzene,Mn,940,60,GradientBoosting,evaluated,0.9727496017140687,24.669852728620796,13.354682645304395
benzene,Ni,964,36,GradientBoosting,evaluated,0.9409640479822806,33.424796854312035,15.983559078839777
benzene,La,967,33,GradientBoosting,evaluated,0.9755787937791928,16.025771580594824,11.857204091235838
benzene,Gd,969,31,GradientBoosting,evaluated,0.9916094114925316,10.37325219825064,7.183881536986142
benzene,Ag,971,29,GradientBoosting,evaluated,0.9727773591195112,11.82211724617384,8.835559275950711
benzene,Nd,972,28,GradientBoosting,evaluated,0.9894951479738067,11.238033824812558,7.512789813818982
benzene,Ce,973,27,GradientBoosting,evaluated,0.993009228034758,8.332751481853904,6.353881237200706
benzene,Pr,976,24,GradientBoosting,evaluated,0.9904743042898186,9.926234806031426,6.856382629882582
benzene,Sm,979,21,GradientBoosting,evaluated,0.9863670761917125,11.01353655228673,7.688767163547285
benzene,Er,979,21,GradientBoosting,evaluated,0.8835867636242143,58.606391382268676,24.951711493903325
benzene,Ca,980,20,GradientBoosting,evaluated,0.9797760936435891,12.442615831415493,9.483762615502629
toluene,Zn,824,176,XGBoost,evaluated,0.9613175608842424,26.754681326660815,14.980889006878442
toluene,Cu,864,136,XGBoost,evaluated,0.9689663956114177,23.35426303434515,14.119563440608484
toluene,Co,893,107,XGBoost,evaluated,0.9733031290478455,32.16776171854071,12.798326823392959
toluene,Cd,926,74,XGBoost,evaluated,0.958302094902466,40.39660469698352,18.89778235520323
toluene,Mn,927,73,XGBoost,evaluated,0.9924602896528074,12.531229136154208,9.383068533970995
toluene,Ni,958,42,XGBoost,evaluated,0.9888852806069849,17.8641120086944,11.996948304215497
toluene,Fe,970,30,XGBoost,evaluated,0.9709571724910535,22.149741136488224,11.953074350986332
toluene,Ce,973,27,XGBoost,evaluated,0.9954466773662939,8.168924162490288,6.2542270612485575
toluene,Nd,975,25,XGBoost,evaluated,0.9876562440816117,13.472094363140416,8.168001759616406
toluene,Mg,976,24,XGBoost,evaluated,0.942571547174458,58.21621512956823,35.28799215015055
toluene,Gd,977,23,XGBoost,evaluated,0.971505184635511,19.955666500576385,9.51581276585428
toluene,La,977,23,XGBoost,evaluated,0.9958362683409993,7.058521422798736,5.865174365905232
toluene,Ca,977,23,XGBoost,evaluated,0.957863265988033,37.459371442028605,29.74790965596128
toluene,Er,980,20,XGBoost,evaluated,0.9548605845298105,46.83020626255113,17.68090509271486
