adsorbate,seed,model,r2,rmse,mae
benzene,0,GradientBoosting,0.947776896882747,26.24231843685836,13.271455235159586
benzene,1,GradientBoosting,0.9520029515242375,25.162477497464423,12.493404598797637
benzene,2,GradientBoosting,0.9626700085213338,24.640638555127858,12.827542543792642
benzene,3,GradientBoosting,0.9652966463285451,23.86934042373645,12.985914720407528
benzene,4,GradientBoosting,0.9484368478431965,25.59591344458429,12.530620048454667
benzene,5,GradientBoosting,0.9532859467165341,22.826199793892282,12.589336506172655
benzene,6,GradientBoosting,0.9584966368863301,26.030181594191404,13.055097634463445
benzene,7,GradientBoosting,0.9521584659793755,24.6230524956007,11.733891671502647
benzene,8,GradientBoosting,0.9286445769249596,30.893428738710664,13.273105270568585
benzene,9,GradientBoosting,0.9684160057761754,18.161044960678872,11.179812363030676
toluene,0,XGBoost,0.983376827075871,21.146867839169133,10.724207846574023
toluene,1,XGBoost,0.9825984958613682,21.820059556807735,11.891768940556444
toluene,2,XGBoost,0.9772923529197045,23.17026970806437,10.63551145907617
toluene,3,XGBoost,0.9561580856933414,29.118619038432303,13.16281889074541
toluene,4,XGBoost,0.9858288190113265,19.561296116438744,11.285985550683595
toluene,5,XGBoost,0.9864396056341104,19.468462267176392,9.643360686452636
toluene,6,XGBoost,0.9229786550760113,42.07401472894696,16.172619215687206
toluene,7,XGBoost,0.9559200341349414,36.86115855933173,15.77845312662139
toluene,8,XGBoost,0.980416012537223,23.749035086927798,12.588916647071388
toluene,9,XGBoost,0.9486792854192387,31.420879173452423,13.390870991170019
